,8/9/18 22:00,8/10/18 0:00,8/10/18 2:00,8/10/18 4:00,8/10/18 6:00,8/10/18 8:00,8/10/18 10:00,8/10/18 12:00,8/10/18 14:00,8/10/18 16:00,8/10/18 18:00,8/10/18 20:00,8/10/18 22:00,8/11/18 0:00,8/11/18 2:00,8/11/18 4:00,8/11/18 6:00,8/11/18 8:00,8/11/18 10:00,8/11/18 12:00,8/11/18 14:00,8/11/18 16:00,8/11/18 18:00,8/11/18 20:00,8/11/18 22:00,8/12/18 0:00,8/12/18 2:00,8/12/18 4:00,8/12/18 6:00,8/12/18 8:00,8/12/18 10:00,8/12/18 12:00,8/12/18 14:00,8/12/18 16:00,8/12/18 18:00,8/12/18 20:00,8/12/18 22:00,8/13/18 0:00,8/13/18 2:00,8/13/18 4:00,8/13/18 6:00,8/13/18 8:00,8/13/18 10:00,8/13/18 12:00,8/13/18 14:00,8/13/18 16:00,8/13/18 18:00,8/13/18 20:00,8/13/18 22:00,8/14/18 0:00,8/14/18 2:00,8/14/18 4:00,8/14/18 6:00,8/14/18 8:00,8/14/18 10:00,8/14/18 12:00,8/14/18 14:00,8/14/18 16:00,8/14/18 18:00,8/14/18 20:00,8/14/18 22:00,8/15/18 0:00,8/15/18 2:00,8/15/18 4:00,8/15/18 6:00,8/15/18 8:00,8/15/18 10:00,8/15/18 12:00,8/15/18 14:00,8/15/18 16:00
TestTrum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,17,0,0,0,2,0,1,0,17,0,0,0,3,0,2,0,16,0,0,0,4,0,2,0,14,0,11,0,4,0,0,0,20,0,8,0,1,0,0,0
TestyTarheel,0,22,2,0,0,0,0,0,0,6,0,1,0,0,24,0,0,9,0,0,3,0,1,0,0,19,16,0,0,0,0,0,2,0,0,0,16,3,9,0,0,0,0,0,0,0,0,9,17,10,0,0,0,0,1,0,0,0,0,0,2,16,0,0,0,0,2,7,5,0
Tetsuyama511,0,13,6,5,0,1,0,7,9,0,0,0,0,0,0,6,3,1,0,1,1,0,0,0,0,0,1,5,3,3,1,6,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1,2,9,1,1,4,7,9,1,0,0,0,0,4,4,8,4,1,2,2,0
TheAdaptedMind,0,3,1,0,0,0,0,1,1,0,17,2,1,1,12,9,0,0,0,1,0,5,6,23,23,1,0,0,0,0,0,0,0,12,39,7,15,13,1,1,0,0,0,19,15,1,2,7,7,8,4,5,0,0,0,3,11,5,9,16,11,4,0,0,0,0,2,0,23,0
TheBadDadder,0,0,6,0,14,3,1,0,0,0,6,4,1,4,0,0,0,0,3,2,1,1,0,0,1,0,11,0,0,0,16,3,0,1,0,0,0,2,11,14,0,0,0,10,0,1,3,17,0,0,0,0,0,0,13,3,2,0,0,1,0,1,2,0,0,0,0,0,13,0
TheConservitar3,0,22,10,9,0,0,0,4,1,0,0,1,3,13,1,0,0,0,0,0,2,3,0,0,2,4,8,1,0,0,0,0,7,6,3,2,1,4,12,3,0,0,0,0,6,11,2,5,8,3,0,0,0,0,0,0,10,9,3,3,0,5,0,0,0,0,0,0,6,0
TheE404,0,2,1,3,2,2,2,9,12,11,10,11,12,2,2,2,2,2,1,7,11,11,8,10,11,2,2,2,2,2,1,11,10,12,10,12,7,2,2,3,2,2,2,8,8,10,10,12,8,3,2,2,2,3,2,8,11,12,10,12,12,2,2,2,2,2,2,11,12,0
TheNYevening,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,2,3,3,3,3,3,3,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,4,2,5,8,7,7,4,4,7,0,4,5,5,5,9,4,5,7,0,6,8,0,0,6,4,0
TheNakedParty,0,5,5,0,0,1,0,3,4,4,0,2,4,2,1,1,3,0,1,4,6,1,14,0,1,0,0,0,4,1,2,4,2,0,5,0,0,7,3,0,0,0,5,3,8,9,1,0,6,0,0,0,0,3,2,0,0,0,0,11,2,0,0,0,0,0,2,0,0,0
TheRealDonGucci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
