,8/9/18 22:00,8/10/18 0:00,8/10/18 2:00,8/10/18 4:00,8/10/18 6:00,8/10/18 8:00,8/10/18 10:00,8/10/18 12:00,8/10/18 14:00,8/10/18 16:00,8/10/18 18:00,8/10/18 20:00,8/10/18 22:00,8/11/18 0:00,8/11/18 2:00,8/11/18 4:00,8/11/18 6:00,8/11/18 8:00,8/11/18 10:00,8/11/18 12:00,8/11/18 14:00,8/11/18 16:00,8/11/18 18:00,8/11/18 20:00,8/11/18 22:00,8/12/18 0:00,8/12/18 2:00,8/12/18 4:00,8/12/18 6:00,8/12/18 8:00,8/12/18 10:00,8/12/18 12:00,8/12/18 14:00,8/12/18 16:00,8/12/18 18:00,8/12/18 20:00,8/12/18 22:00,8/13/18 0:00,8/13/18 2:00,8/13/18 4:00,8/13/18 6:00,8/13/18 8:00,8/13/18 10:00,8/13/18 12:00,8/13/18 14:00,8/13/18 16:00,8/13/18 18:00,8/13/18 20:00,8/13/18 22:00,8/14/18 0:00,8/14/18 2:00,8/14/18 4:00,8/14/18 6:00,8/14/18 8:00,8/14/18 10:00,8/14/18 12:00,8/14/18 14:00,8/14/18 16:00,8/14/18 18:00,8/14/18 20:00,8/14/18 22:00,8/15/18 0:00,8/15/18 2:00,8/15/18 4:00,8/15/18 6:00,8/15/18 8:00,8/15/18 10:00,8/15/18 12:00,8/15/18 14:00,8/15/18 16:00
Vmbritsch,0,8,3,0,0,0,0,5,0,0,8,0,17,0,3,0,0,0,0,6,0,0,1,19,5,8,4,0,0,0,2,8,0,0,3,7,2,0,0,0,0,0,3,8,0,0,4,9,1,0,7,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,2,0,0
Voltuan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,23,3,0,2,4,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,9,12,15,0,0,6,0,0,0,0,0,0,4,0,0,17,0,0,12,2,0,0,0,0,2,8,0,0,0
WAGSILMAR,0,7,9,7,0,0,0,1,0,7,1,0,0,1,3,10,0,0,0,0,2,8,6,2,2,3,6,4,0,0,0,6,0,8,4,4,2,0,0,0,0,0,0,2,6,4,2,0,2,0,5,3,0,0,0,2,0,6,6,5,3,0,5,4,0,0,0,1,3,0
WA_Silenced_Maj,0,1,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,87,0,0,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,7,0,0,0,0,0
WWG,0,5,3,4,1,0,0,1,3,3,3,9,5,4,4,2,1,2,0,1,1,1,4,5,2,5,3,1,1,1,0,3,3,4,7,6,6,8,4,4,2,1,0,1,4,6,4,8,4,9,6,4,4,1,0,0,2,1,7,9,4,12,6,2,5,1,0,2,1,0
WY_Butler,0,3,0,6,0,3,6,8,10,7,12,6,17,13,1,1,0,0,1,1,1,4,2,0,1,0,0,0,1,0,0,4,4,0,0,5,3,2,2,4,0,5,5,17,15,15,15,11,14,5,14,1,2,7,15,15,20,12,3,12,11,3,3,1,0,5,3,7,10,0
Whale_On_Moon,0,2,2,2,0,2,2,0,2,2,0,3,10,1,4,2,0,12,0,2,3,6,2,0,2,0,0,0,0,0,0,0,0,1,3,2,2,0,1,5,0,6,6,7,11,13,4,0,8,4,4,5,5,4,6,3,5,8,4,10,6,0,4,0,3,3,8,7,3,0
Willsdarlin,0,8,4,5,3,0,0,0,6,4,3,3,4,4,7,1,0,0,0,0,1,0,2,0,6,5,8,5,0,0,0,0,7,6,0,0,0,0,3,5,0,0,0,0,0,3,3,1,0,1,7,3,0,0,0,0,4,3,6,8,2,2,7,2,0,0,0,0,0,0
Willwesurvive2,0,1,1,0,0,0,4,16,0,0,0,1,8,0,0,0,0,0,4,2,0,7,8,0,0,1,0,0,0,0,0,0,53,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,5,1,1,0,0,0,1,9,0,8,0,0,2,0,0,0,0,0,0,0,0
WilmaRi99055006,0,4,0,0,0,0,10,0,1,0,3,10,4,4,0,0,0,1,14,0,7,5,0,2,12,0,0,0,0,0,6,0,0,4,0,0,2,0,0,0,0,0,1,5,2,8,3,2,2,8,0,0,0,4,2,9,3,5,0,0,3,3,0,0,0,1,0,2,6,0
WomenSaveUSA,0,46,0,0,3,0,0,0,0,86,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,31,0,8,0,8,1,0,0,0,0,0,0,0
WoodstockPro,0,5,8,0,3,5,0,12,7,7,4,7,8,5,7,0,0,3,1,11,10,7,9,7,7,10,8,0,0,2,3,2,2,8,7,7,4,7,9,0,1,2,1,4,11,5,10,7,5,3,9,0,1,5,0,9,5,8,10,7,1,4,4,0,0,0,3,5,6,0
WvTrump,0,0,0,0,0,0,5,11,4,4,3,1,0,5,0,0,0,1,5,4,0,8,0,0,0,0,0,2,0,0,0,6,7,0,1,0,0,0,0,0,0,0,5,14,6,7,5,2,0,0,0,0,0,0,9,14,6,6,0,4,2,0,5,0,0,0,2,9,2,0
XaelSerpent,0,0,5,4,2,7,2,3,1,5,1,4,5,5,2,2,4,7,8,4,4,4,3,2,4,3,3,1,3,4,4,3,3,4,3,2,8,0,3,4,5,5,2,2,2,4,4,1,3,1,2,0,3,5,5,6,3,2,3,2,1,1,4,4,5,6,5,4,2,0
Xantl,0,2,3,0,2,2,4,6,1,0,5,0,3,0,1,1,0,1,0,0,0,0,3,5,3,8,0,0,1,0,0,6,4,3,0,1,2,0,2,3,0,2,0,0,3,0,12,6,4,0,0,0,0,0,2,0,0,0,0,15,0,7,0,1,7,0,0,12,4,0
Yes2GlobalPeace,0,0,0,0,0,7,3,0,0,15,16,0,2,0,0,2,4,0,0,4,0,0,0,16,1,1,0,6,25,0,0,4,0,0,7,4,0,0,0,9,13,2,0,0,0,0,9,0,0,0,0,2,8,5,0,2,0,0,4,0,1,0,0,0,13,4,0,4,0,0
ZanyGeek,0,3,3,2,2,4,4,3,2,4,4,3,2,3,4,2,2,2,2,2,5,3,2,2,2,2,5,5,2,3,4,2,3,4,2,2,4,3,4,4,4,3,2,2,3,2,2,2,1,3,3,2,5,2,2,2,4,3,3,2,2,4,4,3,3,2,4,3,4,0
_ReaalAmerican_,0,9,7,0,0,0,0,11,4,1,0,2,5,5,5,1,0,0,0,0,0,0,5,8,1,0,10,0,0,0,0,4,6,6,2,0,0,0,0,0,0,0,0,0,4,0,0,0,7,7,0,0,0,0,1,1,1,1,3,0,12,11,2,1,0,0,0,0,8,0
_RedFrog,0,0,0,0,1,3,2,0,0,0,2,1,0,16,0,9,0,0,0,3,16,6,7,6,0,1,0,7,9,1,6,1,0,3,6,4,0,0,0,2,13,5,1,11,8,1,2,3,0,0,2,0,5,8,2,9,0,1,10,8,0,0,1,0,0,0,0,2,1,0
_YvonneBurton,0,6,2,1,0,0,0,0,3,4,7,14,5,5,4,1,0,0,0,0,0,6,5,2,1,4,1,3,1,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,2,9,7,3,3,3,0,2,0,0,0,0,12,9,1,5,3,3,1,0,0,0,0,0,7,0
_dralaterdzo,0,9,6,0,0,0,0,0,13,15,5,8,5,8,2,9,0,0,0,2,4,2,0,8,4,3,3,0,0,0,5,1,2,6,4,1,0,0,0,0,0,0,0,0,0,7,4,2,3,5,5,4,0,0,1,0,8,5,9,2,3,1,1,0,0,0,0,0,10,0
adriandt31,0,10,7,0,0,0,9,4,13,4,1,11,3,12,2,0,0,0,0,7,8,11,5,4,3,1,1,0,0,0,1,16,26,11,3,7,3,0,0,0,0,0,0,16,2,27,10,23,0,15,1,0,0,0,1,19,11,9,6,14,3,4,8,0,0,0,0,16,8,0
afdude45,0,0,3,0,0,0,0,0,5,20,0,0,0,6,0,0,0,0,0,5,4,4,0,6,11,2,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,9,0,0,9,0,7,0,0,0,0,0,3,16,0,11,1,0,0,0,0,0,0,0,2,4,0
alistairpge,0,0,0,0,2,7,1,7,0,3,2,3,0,0,0,9,12,0,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,4,3,0,0,2,0,6,6,3,3,0,0,0,1,2,5,10,0,1,1,14,1,0,0,0,5,0,2,3,12,0
ambinc1,0,0,7,2,3,0,5,16,3,0,0,0,0,1,1,3,0,0,0,14,0,0,0,0,0,1,2,10,1,0,0,9,0,3,0,0,0,0,10,9,0,0,3,5,0,2,0,0,0,0,3,5,0,0,0,8,0,3,0,0,0,0,2,6,1,0,6,1,0,0
ampchabalgo,0,9,0,0,0,10,2,7,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,10,1,0,0,0,0,3,0,0,1,3,2,10,0,6,0,9,0,3,0,0,0,4,10,12,9,12,3,2,6,0,0,0,0,1,3,0,0,0
anhonyf97,0,19,0,0,2,0,0,4,6,5,3,3,11,7,1,1,0,5,0,0,4,4,9,3,10,18,4,0,0,0,0,5,9,0,8,1,1,3,5,3,0,1,2,3,3,1,3,5,1,1,0,0,0,0,0,0,0,0,5,11,0,0,6,0,0,0,0,0,1,0
anon_evelyn,0,0,0,0,0,6,0,11,8,0,0,22,13,0,0,0,0,7,0,0,14,11,0,11,0,0,0,0,0,16,0,0,6,0,12,0,0,0,0,0,0,15,12,0,0,17,13,0,4,0,0,0,0,18,8,10,0,0,0,0,34,0,0,0,0,2,10,12,7,0
apk_ninja,0,3,8,3,1,5,4,5,1,5,5,7,4,6,6,6,7,4,7,4,1,5,4,4,7,5,7,7,5,5,7,9,4,7,8,8,7,3,4,6,5,3,3,2,5,5,6,6,3,7,5,8,4,3,4,3,4,5,7,7,6,6,5,4,4,5,7,6,6,0
arie_brawley,0,10,12,4,4,0,0,0,0,0,0,0,0,1,11,4,2,0,0,0,0,7,1,0,8,8,2,5,0,0,0,0,0,7,10,8,8,2,3,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,7,5,4,2,0,0,0,0,0,0
aroseblush,0,5,1,0,0,0,0,0,0,29,18,40,9,16,9,15,6,0,0,0,0,7,11,6,0,17,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,3,2,2,0,0,0,0,0,0,12,13,6,14,9,11,0,0,0,0,2,0
arthur1125351,0,2,8,2,12,1,0,0,3,4,1,1,0,2,6,0,2,1,0,0,0,2,0,12,11,6,2,0,0,0,0,0,0,22,8,0,3,16,10,5,0,0,0,0,4,0,0,0,0,1,9,0,0,0,0,0,1,2,1,0,2,4,2,0,0,0,0,1,0,0
aspiesmom,0,0,0,0,0,0,0,1,1,0,2,0,4,1,0,1,0,0,0,2,15,14,23,14,2,3,3,4,0,3,0,0,0,0,0,0,1,2,3,1,0,0,0,2,6,1,1,2,0,4,0,0,0,7,0,5,4,5,0,0,0,0,0,0,0,0,0,4,3,0
audreyruddell,0,0,0,0,0,2,9,6,6,8,2,1,6,8,7,1,0,0,0,2,5,1,2,0,4,5,2,0,0,0,0,0,2,0,1,1,6,2,0,2,0,0,0,4,10,12,6,1,2,3,1,0,1,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,7,0
avibebert,0,0,12,4,0,0,0,5,10,13,8,1,4,1,1,0,0,0,1,0,1,13,10,0,13,10,4,0,0,0,0,17,3,6,0,0,15,2,6,0,0,0,0,25,1,22,8,0,2,1,0,0,0,0,0,0,6,2,9,14,10,7,0,0,0,0,0,0,0,0
awaken_to_maga,0,11,0,0,0,0,3,0,11,7,0,5,4,1,0,0,0,0,0,6,5,0,0,4,0,12,1,1,0,0,0,5,3,0,0,10,4,10,0,0,0,0,0,3,0,14,3,0,0,10,0,0,0,0,1,12,5,6,0,0,3,3,1,0,0,0,4,9,0,0
baalter,0,3,2,0,0,0,0,4,0,10,5,5,4,3,4,0,0,0,0,1,3,2,6,3,3,5,1,4,0,0,0,0,5,6,3,6,4,3,2,0,0,0,0,7,1,11,11,6,5,2,2,0,0,0,0,8,7,2,3,3,3,7,6,1,0,0,2,1,0,0
bakerr941,0,7,4,2,0,0,0,0,9,8,7,8,2,0,0,2,0,0,0,2,2,0,4,1,0,5,1,0,0,0,0,4,5,3,3,2,1,0,1,0,0,1,0,1,5,3,8,1,3,0,5,0,0,0,0,0,11,0,10,2,4,7,1,0,0,0,0,2,0,0
ballpointmf1,0,14,12,0,0,0,0,4,4,0,9,6,17,13,1,0,0,0,0,2,8,11,3,1,1,5,1,0,0,0,0,5,5,6,3,0,8,4,0,0,0,0,0,10,13,12,28,2,3,16,5,0,0,0,0,10,0,8,7,18,7,13,2,0,0,0,7,9,5,0
bameado1,0,8,6,0,0,0,0,0,16,7,3,4,4,4,0,0,0,0,0,0,0,11,5,0,2,0,0,0,0,0,0,0,0,0,0,2,4,2,10,0,2,0,0,0,0,8,0,16,0,7,1,0,0,0,0,0,0,0,0,2,7,12,6,0,0,0,0,0,0,0
bandit301,0,0,0,0,0,0,0,8,7,0,0,0,8,6,4,0,0,0,0,1,2,4,5,0,1,8,0,0,0,0,0,2,2,3,3,0,0,0,0,0,0,0,0,0,2,14,1,1,5,1,1,0,0,0,0,1,3,15,5,3,10,3,1,0,0,0,0,5,8,0
barkingstarss,0,0,0,0,0,7,8,3,0,3,11,0,0,1,1,0,0,0,14,9,2,6,0,4,3,0,0,0,0,0,3,9,12,11,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,2,0,0,7,7,0,0,0,3,0,11,5,1,0,0,1,0,0,0,0
battlefrontgen1,0,0,0,0,4,0,0,10,0,3,1,10,22,0,1,1,0,0,0,0,0,7,1,1,3,0,2,0,1,0,0,0,3,4,0,2,0,0,8,4,3,0,0,0,0,23,2,6,0,0,6,0,0,0,0,0,1,5,1,8,0,0,1,4,5,1,0,0,0,0
bbl58,0,12,9,9,2,0,0,0,14,10,6,0,0,0,54,11,0,0,0,1,0,1,1,1,4,2,0,0,0,0,0,0,5,3,4,5,4,0,0,1,1,0,0,0,0,3,9,0,5,0,0,0,0,0,0,4,3,0,1,3,1,1,2,1,0,0,0,5,4,0
bbusa617,0,9,1,0,6,4,4,1,4,1,10,3,3,4,1,2,0,0,0,1,9,9,3,1,6,10,3,1,0,0,0,0,0,8,2,1,2,3,2,0,0,0,0,0,0,12,2,6,4,1,1,0,0,0,0,0,3,2,1,5,2,0,1,1,0,2,0,0,12,0
bdnews24,0,0,0,4,0,1,1,3,2,2,2,3,8,12,0,1,0,3,1,0,2,2,1,0,0,0,0,0,0,0,0,1,3,1,1,0,1,1,0,3,2,2,4,4,12,7,10,3,5,6,7,2,0,3,3,9,10,6,3,6,2,2,0,3,0,1,7,1,4,0
beth2_k3,0,8,0,0,0,0,0,0,0,11,10,9,5,0,1,0,0,0,0,0,1,0,0,1,2,4,0,0,0,0,0,1,1,0,7,0,6,4,0,0,0,0,5,10,0,12,9,0,6,6,0,0,0,0,2,13,0,11,7,1,11,0,1,0,0,0,0,0,1,0
betsyamc,0,1,2,0,0,0,2,6,13,2,16,11,3,1,10,8,0,0,0,6,11,0,3,3,5,0,6,0,0,0,4,15,4,6,5,0,0,0,2,5,0,3,0,0,6,10,1,6,0,0,2,1,0,0,0,13,12,0,2,0,1,1,0,0,0,1,1,0,0,0
big4prezole,0,22,18,0,0,0,0,3,0,0,0,11,2,22,3,0,0,0,0,0,0,0,1,0,0,1,13,3,0,0,0,0,0,0,2,1,3,0,12,0,0,0,0,0,0,0,0,1,3,3,6,0,0,0,0,0,0,0,0,7,3,10,11,0,0,0,0,0,0,0
bighornranch,0,0,0,0,0,3,0,0,0,0,11,7,9,11,0,0,0,10,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,11,2,5,3,10,8,0,0,8,8,0,4,15,0,9,10,0,5,0,0,0,0,0,0
billm9,0,7,4,0,0,0,0,14,2,6,15,3,12,7,3,0,0,0,0,10,3,0,1,5,0,5,5,0,0,0,0,1,0,2,3,4,3,4,0,0,0,0,7,1,0,1,1,0,7,4,8,0,0,0,11,4,2,3,8,8,3,1,1,0,0,0,4,11,0,0
birdman8272,0,7,0,1,0,0,3,3,5,1,7,1,1,5,1,7,0,0,1,0,3,0,1,4,1,3,0,0,0,0,0,5,3,3,4,1,2,3,0,0,0,0,5,3,1,8,4,4,0,1,0,1,0,0,1,6,1,7,1,7,3,0,0,0,4,0,0,6,3,0
bissygumdrops,0,0,2,0,0,0,0,7,2,8,4,4,1,3,0,0,0,0,0,5,3,1,1,12,2,1,0,0,0,0,0,6,5,0,5,2,0,2,0,0,0,0,0,2,10,3,2,7,3,7,0,0,0,0,1,6,4,6,4,6,4,1,0,0,0,0,0,1,4,0
bj_bjshaven,0,3,0,0,0,0,0,8,8,4,0,2,13,10,0,0,0,0,0,7,13,4,4,12,10,1,0,0,0,0,0,1,1,5,3,2,8,5,0,0,0,0,0,4,9,6,0,3,1,1,0,0,0,0,0,1,3,1,0,5,12,4,0,0,0,0,0,2,2,0
bjwhitrn,0,7,0,0,0,0,0,0,2,6,6,0,6,2,3,0,0,0,0,0,4,7,5,6,3,0,4,0,0,0,0,0,1,9,3,6,1,4,0,0,0,0,0,0,0,13,7,13,3,8,0,0,0,0,0,0,0,8,8,1,3,0,0,0,0,0,0,0,0,0
blanken01,0,22,5,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,11,4,10,0,0,0,0,9,8,3,2,2,0,0,0,0,2,7,0,1,0,2,0,3,0,0,0,0,0,0,0,0,18,0,6,0,19,11,0,0,9,2,0,0,8,11,0
blueBooBooBear,0,17,0,0,0,0,0,0,0,7,4,5,1,6,5,0,0,0,0,0,7,5,7,6,4,6,0,0,0,0,0,0,0,8,3,3,2,2,0,0,0,0,0,0,4,0,4,6,0,0,0,0,0,0,0,0,10,0,9,0,1,3,0,0,0,0,0,0,13,0
bsgirl2u,0,6,15,7,3,0,0,0,0,0,0,0,0,0,0,0,5,11,14,8,9,2,0,0,0,2,9,8,3,18,6,0,0,0,0,3,5,6,11,4,10,3,4,2,0,0,0,1,11,2,10,4,9,22,0,0,0,0,8,24,3,4,7,5,7,2,6,5,11,0
buckner_e,0,0,0,0,0,0,0,0,6,6,0,8,0,1,0,0,0,0,0,0,12,3,19,7,0,0,1,3,2,0,0,4,0,0,38,4,3,0,0,6,0,0,0,6,7,2,0,7,0,0,6,1,0,0,0,2,18,4,2,0,1,1,0,0,0,0,0,0,6,0
cadenceofmylife,0,8,7,6,2,0,0,0,11,2,1,10,4,10,2,9,1,0,0,2,0,0,5,2,0,2,3,3,0,0,0,1,0,1,3,5,1,2,4,0,0,0,0,3,5,5,3,6,0,3,1,1,5,0,0,0,3,3,3,6,0,4,0,2,1,0,0,0,5,0
capgapps,0,7,6,9,10,7,6,5,9,6,9,7,6,4,7,5,4,5,5,4,2,3,4,9,5,8,6,4,4,2,0,7,1,5,3,8,8,8,6,2,8,2,7,3,6,6,3,3,5,9,6,7,6,6,6,6,5,10,13,6,10,8,5,3,9,7,7,6,4,0
carolehers,0,0,0,3,0,0,20,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,40,0,0,4,2,1,5,0,0,0,0,3,28,0,1,8,0,5,0,0,0,0,2,1,1,0,6,0,2,0,3,0,0,0,0,16,1,1,0
carrera911targa,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,7,14,1,0,0,0,0,7,38,1,0,0,4,42,0,0,0,0,0,1,0,0,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
carrieksada1,0,3,2,4,0,0,0,0,4,4,4,6,6,3,3,1,0,0,0,0,0,4,7,8,2,2,6,0,0,0,0,0,0,5,6,7,4,2,0,0,0,0,0,0,7,2,3,6,4,6,10,3,0,0,0,0,5,5,2,5,6,3,5,0,0,0,0,0,0,0
carshipuk,0,0,0,0,11,5,6,1,3,3,5,0,0,0,0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,10,1,4,4,1,2,4,0,11,0,0,2,0,7,6,7,5,2,2,3,0,0,0,5,2,9,3,5,3,1,1,0,0,0,0,8,4,0,0,0,0
carucci_barbara,0,1,0,0,0,0,0,0,0,3,3,1,3,4,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,7,0,0,5,2,1,0,0,0,0,0,5,8,1,1,3,44,7,0,0,0,0,0,9,11,9,13,3,7,2,0,0,0,0,0,0
carysimond,0,3,2,0,0,0,0,12,1,5,0,4,9,3,0,0,0,0,0,4,9,4,2,8,0,2,0,0,0,0,0,1,3,6,1,0,0,1,0,0,0,0,0,7,9,2,1,5,5,1,0,0,0,0,0,3,6,1,6,3,3,0,0,0,0,0,0,1,7,0
cbprincess5,0,3,2,3,3,2,7,0,5,3,0,1,0,0,5,6,4,4,0,0,0,0,0,0,4,8,6,7,5,6,6,0,0,0,0,0,0,8,3,4,1,5,6,0,0,0,0,0,0,0,9,7,10,5,0,0,0,1,0,9,0,0,1,0,0,0,0,0,0,0
cccp3o,0,12,0,0,1,4,2,1,7,1,2,3,0,5,0,1,0,0,0,1,1,0,0,0,2,0,9,0,0,0,0,20,8,2,2,2,1,26,0,15,1,0,0,10,1,8,5,4,0,2,0,0,0,1,2,8,5,2,1,18,1,4,1,0,0,0,0,6,3,0
chandlerEclipse,0,0,7,7,0,0,0,0,9,10,13,3,5,3,5,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,8,5,0,4,2,4,3,0,0,0,0,0,0,5,10,4,1,3,0,0,0,0,0,0,8,10,5,10,1,9,5,0,0,0,0,0,3,0
cheezwitham,0,4,9,4,0,0,0,0,6,6,7,0,1,1,4,0,0,0,0,5,2,2,0,0,3,2,5,0,0,0,0,5,0,8,3,0,2,0,3,0,0,0,0,0,0,0,0,0,8,2,8,0,0,0,0,2,2,11,0,8,0,0,5,7,0,0,0,2,1,0
cheri4trump,0,11,0,0,0,0,0,0,0,0,7,0,12,10,0,0,0,0,0,9,0,0,5,4,2,0,0,0,0,0,0,9,2,2,3,2,1,2,0,0,0,0,0,7,0,0,0,0,2,16,0,0,0,0,0,10,3,6,8,0,3,15,0,0,0,0,0,0,0,0
christas_cheryl,0,8,4,1,0,0,0,0,6,9,11,4,5,1,0,0,0,0,0,0,2,9,9,6,0,10,1,0,0,0,1,0,3,0,5,6,2,3,0,0,0,0,0,0,1,2,5,6,1,6,0,0,0,0,1,3,12,10,8,6,8,2,0,0,0,0,0,0,6,0
christianllamar,0,0,0,0,0,1,2,2,7,3,1,1,1,0,0,0,0,0,5,5,19,12,0,0,1,0,0,0,0,0,10,11,2,12,0,1,0,0,0,0,0,0,0,1,17,6,0,0,0,46,0,0,0,0,0,18,9,1,13,19,10,2,16,0,0,11,1,0,0,0
christii103,0,0,10,2,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,6,1,0,10,0,0,0,3,0,0,0,9,0,4,1,0,0,0,7,0,0,0,0,12,5,13,0,10,7,0,0,0,0,1,0,0,6,0,0,0,0,4,0,0,0,0,1,12,0
cis_gracchus,0,5,7,0,1,0,0,1,9,9,3,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,4,13,0,0,0,0,7,1,0,0,3,3,2,0,0,0,0,6,4,4,3,0,10,5,4,5,0,0,0,0,14,6,12,0,3,0,5,5,0,0,0,0,5,0
cjdtwit,0,2,0,4,4,4,0,0,12,6,8,4,0,0,0,0,7,8,0,0,0,0,18,0,0,4,13,0,0,0,0,0,0,2,8,0,0,0,6,0,4,0,0,0,1,15,7,5,0,2,0,0,9,0,0,0,2,3,10,0,0,0,7,0,16,0,0,0,0,0
cjgaudet,0,5,0,0,0,0,0,0,0,2,0,6,29,10,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,22,0,0,3,23,6,0,0,0,0,0,0,0,2,9,3,12,8,0,0,0,0,1,1,9,0
ckemp1542400,0,0,14,1,0,0,0,3,12,7,3,7,0,4,0,3,0,0,0,1,8,0,0,0,2,0,7,17,0,0,0,0,6,20,17,0,1,0,0,0,0,0,0,0,0,7,4,8,6,5,0,2,0,0,0,6,7,15,4,0,0,3,0,0,0,0,0,0,4,0
clanu2,0,15,12,0,0,0,0,0,0,0,10,5,10,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,15,0,0,0,10,0,0,0,0,0,1,8,0,0,9,3,0,7,0,0,0,0,0,0,0
clark7950,0,16,4,0,0,0,0,0,4,4,5,2,9,4,7,4,0,0,0,0,2,9,9,9,2,4,10,9,0,0,0,0,3,5,9,4,8,7,4,5,0,0,0,0,4,16,3,4,1,8,6,3,0,0,0,0,7,20,9,11,5,6,3,1,0,0,0,2,7,0
clfklf,0,13,11,0,0,0,0,0,0,0,3,2,11,3,0,5,0,4,0,0,0,0,2,0,2,0,6,0,0,0,0,0,1,3,7,0,7,3,0,0,0,0,0,0,0,1,8,12,0,0,3,0,0,0,0,0,1,20,8,2,2,7,6,0,0,0,0,0,6,0
clydecrusilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,26,0,0,14,0,0,0,0,0,0,0,0,0,0,0,6,4,0,10,0,0,0,23,1,0,0,0,3,0,0,0,0,0,0,6,2,0,0,0,0,0,24,5,0,0,0,0,7,0,0,0,0,0,0
consmover,0,10,6,0,0,0,0,10,7,6,6,6,1,14,0,0,0,0,0,0,0,20,13,0,11,11,4,4,0,0,0,0,11,11,9,2,6,4,2,2,0,0,0,0,9,10,18,5,10,5,7,0,0,3,0,11,9,8,11,6,11,2,2,0,0,8,0,16,7,0
corrigan_david,0,1,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
costpap63,0,0,0,0,3,0,0,2,0,0,9,0,0,0,0,1,4,16,0,11,0,3,0,7,0,0,0,0,37,5,3,0,4,7,0,0,0,0,0,0,6,0,5,1,12,5,1,0,0,0,1,3,1,1,2,0,19,0,14,0,4,0,0,0,2,0,3,0,12,0
crickafer00,0,17,0,0,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,8,7,0,7,4,0,0,0,0,17,0,0,15,0,0,3,18,0,0,0,0,16,0,0,0
crystal54738364,0,0,29,4,0,35,0,0,0,0,0,0,0,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,34,46,0,11,0,0,0,0,0,0,0,34,19,0,0,0,0,0,0,0,0,0,0,69,0,20,19,33,2,0,0,0
cs0058cs,0,0,0,3,0,0,0,7,0,10,5,19,2,4,0,0,0,0,0,9,0,0,2,14,0,0,12,0,0,0,0,0,1,0,16,1,0,3,3,3,7,0,1,7,10,0,22,7,0,16,0,3,0,0,2,15,0,16,1,1,8,2,0,0,4,0,0,0,18,0
danharley52,0,8,0,0,4,0,0,13,9,5,9,3,2,4,0,0,0,0,0,0,0,12,8,6,4,6,6,3,0,12,0,0,6,0,11,0,2,0,1,0,0,0,0,10,9,1,4,36,8,4,0,0,0,0,0,8,5,2,1,0,0,0,0,0,0,0,0,0,0,0
